S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,RSI,macd_vs_signal,50_vs_20ema,20sma_vs_price,50sma_vs_price,200sma_vs_price,ltp,bollinger_price
131,2022-02-03,2757,AKPL,Arun Kabeli Power Ltd.,612,624,600,601,391839,239806786.7,600,882.4,300,2022-02-03T14:59:55.817367,601,2255,612,11149.82,46.93075906,Down,Down,UP,UP,Down,601,between_bands
132,2022-02-03,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,1235,1256,1215,1225,1245,1530483.4,1235,2048,550,2022-02-03T14:59:37.900945,1225,30,1229.3,4198.62,49.97893423,Down,Down,UP,UP,Down,1225,between_bands
133,2022-02-03,2770,SEF,Siddhartha Equity Fund,11.3,11.56,11.29,11.42,44800,511441.32,11.4,17.04,10.01,2022-02-03T14:56:59.411376,11.42,26,11.41,1713,44.21642914,Down,Down,UP,UP,Down,11.42,between_bands
134,2022-02-03,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,323.4,345,323.4,327,273319,91624805.7,330,502,132,2022-02-03T14:59:56.819471,327,1333,335.23,2616,46.1017566,Down,Down,UP,UP,Down,327,between_bands
135,2022-02-03,2813,PPCL,Panchthar Power Compant Limited,556.9,570,543,544,55566,30861738.1,546.2,642,222,2022-02-03T14:59:55.675613,544,292,555.4,5236,47.52452405,Down,Down,UP,UP,Down,544,between_bands
136,2022-02-03,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,1400,1400,1374,1375,1215,1678999.3,1400,2245,1017,2022-02-03T14:57:05.614943,1375,35,1381.89,1340.62,53.06040483,Down,Down,UP,UP,Down,1375,between_bands
137,2022-02-03,2881,NRIC,Nepal Reinsurance Company Limited,1260,1285,1248,1251,50477,64015778.4,1254,2010,1104.72,2022-02-03T14:59:58.038290,1251,629,1268.21,145741.5,52.10350877,Down,Down,UP,UP,Down,1251,between_bands
138,2022-02-03,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,610,638,610,638,39284,24625089,612,638,186.5,2022-02-03T14:59:57.814094,638,616,626.84,2348.75,47.19473174,Down,Down,UP,UP,Down,638,between_bands
139,2022-02-03,8024,NBF3,Nabil Balanced Fund-3,9.7,9.87,9.65,9.7,25733,249266.11,9.7,10.08,9.13,2022-02-03T14:58:58.765405,9.7,50,9.68,1212.5,42.41622974,Down,Down,UP,UP,Down,9.7,between_bands
140,2022-02-03,133,SCB,Standard Chartered Bank Limited,506,515,501,508.1,16760,8566813.6,506,678,434,2022-02-03T14:59:17.363142,508.1,168,511.14,47911.05,47.34974518,Down,Down,UP,UP,Down,508.1,between_bands
